notion_id;discipline_id;libelle;description;document
MAT_NOMBRES_RATIONNELS;MAT;Nombres rationnels;Repères, méthodes et automatismes essentiels sur : Nombres rationnels.;rappels/mathematiques/nombres_rationnels.md
MAT_NOMBRES_REELS;MAT;Nombres réels;Repères, méthodes et automatismes essentiels sur : Nombres réels.;rappels/mathematiques/nombres_reels.md
MAT_NOTION_DE_FONCTION;MAT;Notion de fonction;Repères, méthodes et automatismes essentiels sur : Notion de fonction.;rappels/mathematiques/notion_de_fonction.md
MAT_NOTION_DE_LISTE;MAT;Notion de liste;Listes en algorithmique, indices, parcours, ajout et traitement de valeurs.;rappels/mathematiques/notion_de_liste.md
MAT_OPERATIONS;MAT;Opérations;Repères, méthodes et automatismes essentiels sur : Opérations.;rappels/mathematiques/operations.md
MAT_ORGANISATION_ET_GESTION_DE_DONNEES;MAT;Organisation et gestion de données;Repères, méthodes et automatismes essentiels sur : Organisation et gestion de données.;rappels/mathematiques/organisation_et_gestion_de_donnees.md
MAT_ORTHOGONALITE_ET_DISTANCES_DANS_L_ESPACE;MAT;Orthogonalité et distances dans l’espace;Produit scalaire dans l’espace, orthogonalité, vecteurs normaux et distances.;rappels/mathematiques/orthogonalite_et_distances_dans_l_espace.md
MAT_PARALLELOGRAMMES;MAT;Parallélogrammes;Repères, méthodes et automatismes essentiels sur : Parallélogrammes.;rappels/mathematiques/parallelogrammes.md
MAT_PARALLELOGRAMMES_ET_TRANSLATIONS;MAT;Parallélogrammes et translations;Repères, méthodes et automatismes essentiels sur : Parallélogrammes et translations.;rappels/mathematiques/parallelogrammes_et_translations.md
MAT_PHENOMENES_ALEATOIRES;MAT;Phénomènes aléatoires;Repères, méthodes et automatismes essentiels sur : Phénomènes aléatoires.;rappels/mathematiques/phenomenes_aleatoires.md
MAT_PHENOMENES_D_EVOLUTION_MODELISATION_PAR_DES_FONCTIONS;MAT;Phénomènes d’évolution, modélisation par des fonctions;Repères, méthodes et automatismes essentiels sur : Phénomènes d’évolution, modélisation par des fonctions.;rappels/mathematiques/evolution_modelisation_fonctions.md
MAT_POURCENTAGE;MAT;Pourcentages;Relier pourcentage, fraction, proportion et quantité.;rappels/mathematiques/pourcentages.md
MAT_PREMIERS_RAISONNEMENTS_ALGEBRIQUES;MAT;Premiers raisonnements algébriques;Repères, méthodes et automatismes essentiels sur : Premiers raisonnements algébriques.;rappels/mathematiques/premiers_raisonnements_algebriques.md
MAT_PRIMITIVES_EQUATIONS_DIFFERENTIELLES;MAT;Primitives, équations différentielles;Primitives et résolution d’équations différentielles élémentaires avec conditions initiales.;rappels/mathematiques/primitives_equations_differentielles.md
MAT_PRIMITIVES_ET_EQUATIONS_DIFFERENTIELLES;MAT;Primitives et équations différentielles;Repères, méthodes et automatismes essentiels sur : Primitives et équations différentielles.;rappels/mathematiques/primitives_et_equations_differentielles.md
MAT_PROBABILITES;MAT;Probabilités;Repères, méthodes et automatismes essentiels sur : Probabilités.;rappels/mathematiques/probabilites.md
MAT_PROBABILITES_CONDITIONNELLES;MAT;Probabilités conditionnelles;Repères, méthodes et automatismes essentiels sur : Probabilités conditionnelles.;rappels/mathematiques/probabilites_conditionnelles.md
MAT_PROBABILITES_CONDITIONNELLES_ET_INDEPENDANCE;MAT;Probabilités conditionnelles et indépendance;Repères, méthodes et automatismes essentiels sur : Probabilités conditionnelles et indépendance.;rappels/mathematiques/probabilites_conditionnelles_et_independance.md
MAT_PROBABILITES_CONDITIONNELLES_INDEPENDANCE;MAT;Probabilités conditionnelles : indépendance;Repères, méthodes et automatismes essentiels sur : Probabilités conditionnelles : indépendance.;rappels/mathematiques/probabilites_conditionnelles_independance.md
MAT_PROBABILITES_ET_STATISTIQUE;MAT;Probabilités et statistique;Repères, méthodes et automatismes essentiels sur : Probabilités et statistique.;rappels/mathematiques/probabilites_et_statistique.md
MAT_PROBABILITES_ET_STATISTIQUES;MAT;Probabilités et statistiques;Repères, méthodes et automatismes essentiels sur : Probabilités et statistiques.;rappels/mathematiques/probabilites_et_statistiques.md
MAT_PROP;MAT;Proportionnalité;Reconnaître et traiter une situation de proportionnalité.;rappels/mathematiques/proportionnalite.md
MAT_PUISSANCES;MAT;Puissances;Repères, méthodes et automatismes essentiels sur : Puissances.;rappels/mathematiques/puissances.md
MAT_RACINE_CARREE;MAT;Racine carrée;Repères, méthodes et automatismes essentiels sur : Racine carrée.;rappels/mathematiques/racine_carree.md
MAT_RELATIFS;MAT;Nombres relatifs;Repérer, comparer et calculer avec des nombres relatifs.;rappels/mathematiques/nombres_relatifs.md
MAT_REPARTITION_DES_RICHESSES_INEGALITES;MAT;Répartition des richesses, inégalités;Repères, méthodes et automatismes essentiels sur : Répartition des richesses, inégalités.;rappels/mathematiques/repartition_des_richesses_inegalites.md
MAT_REPERAGE_SUR_UNE_DROITE_ET_DANS_LE_PLAN;MAT;Repérage sur une droite et dans le plan;Repères, méthodes et automatismes essentiels sur : Repérage sur une droite et dans le plan.;rappels/mathematiques/reperage_sur_une_droite_et_dans_le_plan.md
MAT_REPETITION_D_EXPERIENCES_INDEPENDANTES_ECHANTILLONNAGE;MAT;Répétition d’expériences indépendantes, échantillonnage;Repères, méthodes et automatismes essentiels sur : Répétition d’expériences indépendantes, échantillonnage.;rappels/mathematiques/echantillonnage_experiences_indep.md
MAT_REPRESENTATIONS_PARAMETRIQUES_ET_EQUATIONS_CARTESIENNES;MAT;Représentations paramétriques et équations cartésiennes;Représentations paramétriques des droites, équations cartésiennes des plans et intersections.;rappels/mathematiques/equations_parametriques_cartesiennes.md
MAT_REPRESENTATION_ALGEBRIQUE_ET_GRAPHIQUE_DES_FONCTIONS;MAT;Représentation algébrique et graphique des fonctions;Repères, méthodes et automatismes essentiels sur : Représentation algébrique et graphique des fonctions.;rappels/mathematiques/representation_fonctions.md
MAT_REPRESENTATION_DE_L_ESPACE;MAT;Représentation de l’espace;Repères, méthodes et automatismes essentiels sur : Représentation de l’espace.;rappels/mathematiques/representation_de_l_espace.md
MAT_SERIES_STATISTIQUES_A_DEUX_VARIABLES_QUANTITATIVES;MAT;Séries statistiques à deux variables quantitatives;Repères, méthodes et automatismes essentiels sur : Séries statistiques à deux variables quantitatives.;rappels/mathematiques/statistiques_deux_variables.md
MAT_SOMMES_DE_VARIABLES_ALEATOIRES;MAT;Sommes de variables aléatoires;Sommes de variables aléatoires, linéarité de l’espérance et variance sous indépendance.;rappels/mathematiques/sommes_de_variables_aleatoires.md
MAT_STATISTIQUES;MAT;Statistiques;Repères, méthodes et automatismes essentiels sur : Statistiques.;rappels/mathematiques/statistiques.md
MAT_STATISTIQUES_ET_PROBABILITES;MAT;Statistiques et probabilités;Repères, méthodes et automatismes essentiels sur : Statistiques et probabilités.;rappels/mathematiques/statistiques_et_probabilites.md
MAT_STATISTIQUE_A_DEUX_VARIABLES_QUANTITATIVES;MAT;Statistique à deux variables quantitatives;Repères, méthodes et automatismes essentiels sur : Statistique à deux variables quantitatives.;rappels/mathematiques/statistique_a_deux_variables_quantitatives.md
MAT_STATISTIQUE_ET_PROBABILITES;MAT;Statistique et probabilités;Repères, méthodes et automatismes essentiels sur : Statistique et probabilités.;rappels/mathematiques/statistique_et_probabilites.md
MAT_SUCCESSION_D_EPREUVES_INDEPENDANTES_SCHEMA_DE_BERNOULLI;MAT;Succession d’épreuves indépendantes, schéma de Bernoulli;Épreuves indépendantes, schéma de Bernoulli et loi binomiale.;rappels/mathematiques/schema_bernoulli.md
MAT_SUITES;MAT;Suites;Repères, méthodes et automatismes essentiels sur : Suites.;rappels/mathematiques/suites.md
MAT_SUITES_NUMERIQUES;MAT;Suites numériques;Variations, bornes, convergence, limites et raisonnement par récurrence pour les suites.;rappels/mathematiques/suites_numeriques.md
MAT_SUITES_NUMERIQUES_MODELES_DISCRETS;MAT;Suites numériques, modèles discrets;Repères, méthodes et automatismes essentiels sur : Suites numériques, modèles discrets.;rappels/mathematiques/suites_numeriques_modeles_discrets.md
MAT_TEMPS_D_ATTENTE;MAT;Temps d’attente;Repères, méthodes et automatismes essentiels sur : Temps d’attente.;rappels/mathematiques/temps_d_attente.md
MAT_TRANSFORMATIONS;MAT;Transformations;Repères, méthodes et automatismes essentiels sur : Transformations.;rappels/mathematiques/transformations.md
MAT_TRANSLATIONS_ET_VECTEURS;MAT;Translations et vecteurs;Repères, méthodes et automatismes essentiels sur : Translations et vecteurs.;rappels/mathematiques/translations_et_vecteurs.md
MAT_TRIANGLES;MAT;Triangles;Repères, méthodes et automatismes essentiels sur : Triangles.;rappels/mathematiques/triangles.md
MAT_TRIGONOMETRIE;MAT;Trigonométrie;Repères, méthodes et automatismes essentiels sur : Trigonométrie.;rappels/mathematiques/trigonometrie.md
MAT_VARIABLES_ALEATOIRES;MAT;Variables aléatoires;Repères, méthodes et automatismes essentiels sur : Variables aléatoires.;rappels/mathematiques/variables_aleatoires.md
MAT_VARIABLES_ALEATOIRES_DISCRETES_FINIES;MAT;Variables aléatoires discrètes finies;Repères, méthodes et automatismes essentiels sur : Variables aléatoires discrètes finies.;rappels/mathematiques/variables_aleatoires_discretes_finies.md
MAT_VARIABLES_ALEATOIRES_REELLES;MAT;Variables aléatoires réelles;Repères, méthodes et automatismes essentiels sur : Variables aléatoires réelles.;rappels/mathematiques/variables_aleatoires_reelles.md
MAT_VARIABLES_ET_INSTRUCTIONS_ELEMENTAIRES;MAT;Variables et instructions élémentaires;Repères, méthodes et automatismes essentiels sur : Variables et instructions élémentaires.;rappels/mathematiques/variables_et_instructions_elementaires.md
MAT_VARIATIONS_ET_COURBES_REPRESENTATIVES_DES_FONCTIONS;MAT;Variations et courbes représentatives des fonctions;Repères, méthodes et automatismes essentiels sur : Variations et courbes représentatives des fonctions.;rappels/mathematiques/variations_courbes_fonctions.md
MAT_VARIATIONS_ET_EXTREMUMS_D_UNE_FONCTION;MAT;Variations et extrémums d’une fonction;Repères, méthodes et automatismes essentiels sur : Variations et extrémums d’une fonction.;rappels/mathematiques/variations_et_extremums_d_une_fonction.md
MAT_VARIATION_EXPONENTIELLE;MAT;Variation exponentielle;Repères, méthodes et automatismes essentiels sur : Variation exponentielle.;rappels/mathematiques/variation_exponentielle.md
MAT_VARIATION_LINEAIRE;MAT;Variation linéaire;Repères, méthodes et automatismes essentiels sur : Variation linéaire.;rappels/mathematiques/variation_lineaire.md
MAT_VECTEURS_ET_PROBLEMES_DE_GEOMETRIE;MAT;Vecteurs et problèmes de géométrie;Repères, méthodes et automatismes essentiels sur : Vecteurs et problèmes de géométrie.;rappels/mathematiques/vecteurs_et_problemes_de_geometrie.md
MAT_VISION_DANS_L_ESPACE;MAT;Vision dans l’espace;Repères, méthodes et automatismes essentiels sur : Vision dans l’espace.;rappels/mathematiques/vision_dans_l_espace.md
MAT_VOCABULAIRE_ENSEMBLISTE_ET_LOGIQUE;MAT;Vocabulaire ensembliste et logique;Repères, méthodes et automatismes essentiels sur : Vocabulaire ensembliste et logique.;rappels/mathematiques/vocabulaire_ensembliste_et_logique.md
MAT_VOLUMES;MAT;Volumes;Repères, méthodes et automatismes essentiels sur : Volumes.;rappels/mathematiques/volumes.md
MAT_NOMBRES_COMPLEXES;MAT;Nombres complexes;Calcul algébrique, formes trigonométrique et exponentielle, géométrie complexe et équations polynomiales.;rappels/mathematiques/nombres_complexes.md
MAT_GRAPHES_MATRICES;MAT;Graphes et matrices;Graphes, matrices d’adjacence, calcul matriciel, systèmes linéaires et modélisation discrète.;rappels/mathematiques/graphes_matrices.md
FRA_LECTURE_COMPREHENSION;FRA;Lecture et compréhension;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/fra_lecture_comprehension.md
FRA_CULTURE_LITTERAIRE;FRA;Culture littéraire;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/fra_culture_litteraire.md
FRA_ECRITURE;FRA;Écriture;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/fra_ecriture.md
FRA_ORAL;FRA;Expression orale;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/fra_oral.md
FRA_VOCABULAIRE;FRA;Vocabulaire;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/fra_vocabulaire.md
FRA_GRAMMAIRE_ORTHOGRAPHE;FRA;Grammaire et orthographe;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/fra_grammaire_orthographe.md
HG_PREHISTOIRE_MIGRATIONS;HG;Préhistoire et migrations;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/hg_prehistoire_migrations.md
HG_MEDITERRANEE_ANTIQUE;HG;Méditerranée antique;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/hg_mediterranee_antique.md
HG_EMPIRE_ROMAIN;HG;Empire romain;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/hg_empire_romain.md
GEO_METROPOLES;HG;Habiter une métropole;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/geo_metropoles.md
GEO_FAIBLE_DENSITE;HG;Espaces de faible densité;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/geo_faible_densite.md
GEO_LITTORAUX;HG;Littoraux;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/geo_littoraux.md
GEO_REPARTITION_POPULATION;HG;Répartition de la population;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/geo_repartition_population.md
SCI_MATIERE_ENERGIE;SCI;Matière et énergie;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/sci_matiere_energie.md
SCI_VIVANT;SCI;Le vivant;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/sci_vivant.md
SCI_OBJETS_TECHNIQUES;SCI;Objets techniques;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/sci_objets_techniques.md
SCI_TERRE_ENVIRONNEMENT;SCI;Terre et environnement;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/sci_terre_environnement.md
LVE_REPERES_CULTURELS;LVE;Repères culturels;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/lve_reperes_culturels.md
LVE_COMPREHENSION;LVE;Compréhension en langue vivante;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/lve_comprehension.md
LVE_EXPRESSION_INTERACTION;LVE;Expression et interaction;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/lve_expression_interaction.md
LVE_OUTILS_LINGUISTIQUES;LVE;Outils linguistiques;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/lve_outils_linguistiques.md
EMC_INTERET_GENERAL;EMC;Intérêt général et représentation;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/emc_interet_general.md
EMC_LAICITE;EMC;Laïcité;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/emc_laicite.md
EMC_VIE_PRIVEE;EMC;Droits et vie privée;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/emc_vie_privee.md
EPS_PERFORMANCE;EPS;Performance mesurable;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/eps_performance.md
EPS_DEPLACEMENTS;EPS;Déplacements en environnement varié;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/eps_deplacements.md
EPS_EXPRESSION;EPS;Expression artistique et acrobatique;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/eps_expression.md
EPS_AFFRONTEMENT;EPS;Affrontement collectif ou individuel;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/eps_affrontement.md
ARTS_REPRESENTATION;ARTS;Représentation plastique;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/arts_representation.md
ARTS_OBJET_ESPACE;ARTS;Objet et espace;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/arts_objet_espace.md
ARTS_MATERIALITE;ARTS;Matérialité et œuvre;Notion repère pour la classe de sixième.;rappels/transdisciplinaires/arts_materialite.md
