contexte_id;famille_contexte;libelle;objet;action;acteur_ou_dispositif;produit_ou_service;unite_principale;genre_objet;objet_avec_indefini;objet_avec_article;contenu;contenu_avec_article;genre_contenu;verbe_flux_infinitif;verbe_flux_present;objet_pluriel;produit_avec_article;unite_singulier;unite_pluriel;acteur_avec_indefini;acteur_avec_article;contenant_singulier;contenant_pluriel;verbe_action_infinitif;verbe_action_present;nom_action;statut
CTX_OMBRE_BATIMENT;THALES_OMBRES;Ombre d un batiment;batiment;mesurer;baton;hauteur;m;;un batiment;le batiment;;;;;;;;;;;;;;;;;ACTIF
CTX_OMBRE_PHARE;THALES_OMBRES;Ombre d un phare;phare;mesurer;baton;hauteur;m;;un phare;le phare;;;;;;;;;;;;;;;;;ACTIF
CTX_OMBRE_MAT;THALES_OMBRES;Ombre d un mat;mat;mesurer;baton;hauteur;m;;un mat;le mat;;;;;;;;;;;;;;;;;ACTIF
CTX_LOTS_JETONS;LOTS;Sachets de jetons;jetons;repartir;association;sachets;jetons;;;;;;;;;;;jeton;jetons;;;sachet;sachets;;;;ACTIF
CTX_LOTS_TICKETS;LOTS;Carnets de tickets;tickets;repartir;association;carnets;tickets;;;;;;;;;;;ticket;tickets;;;carnet;carnets;;;;ACTIF
CTX_LOTS_CARTES;LOTS;Paquets de cartes;cartes;repartir;club;paquets;cartes;;;;;;;;;;;carte;cartes;;;paquet;paquets;;;;ACTIF
CTX_LOTS_BADGES;LOTS;Lots de badges;badges;repartir;association;lots;badges;;;;;;;;;;;badge;badges;;;lot;lots;;;;ACTIF
CTX_LOTS_BRACELETS;LOTS;Lots de bracelets numerotes;bracelets;repartir;club;lots;bracelets;;;;;;;;;;;bracelet;bracelets;;;lot;lots;;;;ACTIF
CTX_EVOL_VETEMENT;EVOLUTION_PRIX;Vetement en promotion;vetement;acheter;magasin;article;euros;;un vetement;le vetement;;;;;;;;;;;;;;;;;ACTIF
CTX_EVOL_VELO;EVOLUTION_PRIX;Velo en promotion;velo;acheter;magasin;article;euros;;un velo;le velo;;;;;;;;;;;;;;;;;ACTIF
CTX_EVOL_BILLET;EVOLUTION_PRIX;Billet et remise;billet;acheter;billetterie;billet;euros;;un billet;le billet;;;;;;;;;;;;;;;;;ACTIF
CTX_EVOL_MATERIEL;EVOLUTION_PRIX;Materiel sportif;materiel sportif;acheter;magasin;article;euros;;un materiel sportif;le materiel sportif;;;;;;;;;;;;;;;;;ACTIF
CTX_EVOL_ABONNEMENT;EVOLUTION_PRIX;Abonnement;abonnement;souscrire;service;abonnement;euros;;un abonnement;l abonnement;;;;;;;;;;;;;;;;;ACTIF
