gabarit_compose_id;contexte_id;poids;statut
GABC_DNB_GRAND_COUVERTURE;CTX_COUV_MUR_PEINTURE;1;ACTIF
GABC_DNB_GRAND_COUVERTURE;CTX_COUV_SOL_CARRELAGE;1;ACTIF
GABC_DNB_GRAND_COUVERTURE;CTX_COUV_TERRASSE_DALLES;1;ACTIF
GABC_DNB_GRAND_COUVERTURE;CTX_COUV_FACADE_ENDUIT;1;ACTIF
GABC_DNB_GRAND_COUVERTURE;CTX_COUV_PLAFOND_PEINTURE;1;ACTIF
GABC_DNB_GRAND_VITESSE;CTX_VIT_VELO;1;ACTIF
GABC_DNB_GRAND_VITESSE;CTX_VIT_BUS;1;ACTIF
GABC_DNB_GRAND_VITESSE;CTX_VIT_TRAIN;1;ACTIF
GABC_DNB_GRAND_VITESSE;CTX_VIT_BATEAU;1;ACTIF
GABC_DNB_GRAND_ECHELLE;CTX_ECH_CARTE_RANDO;1;ACTIF
GABC_DNB_GRAND_ECHELLE;CTX_ECH_PLAN_VILLE;1;ACTIF
GABC_DNB_GRAND_ECHELLE;CTX_ECH_CARTE_ROUTIERE;1;ACTIF
GABC_DNB_GRAND_ECHELLE;CTX_ECH_PLAN_PARC;1;ACTIF
GABC_DNB_GRAND_VOLUME_COUT;CTX_VOL_PISCINE;1;ACTIF
GABC_DNB_GRAND_VOLUME_COUT;CTX_VOL_BASSIN;1;ACTIF
GABC_DNB_GRAND_VOLUME_COUT;CTX_VOL_RESERVOIR;1;ACTIF
GABC_DNB_GRAND_VOLUME_COUT;CTX_VOL_BAC;1;ACTIF
GABC_DNB_PROP_RECETTE;CTX_REC_CREPE;1;ACTIF
GABC_DNB_PROP_RECETTE;CTX_REC_GAUFRE;1;ACTIF
GABC_DNB_PROP_RECETTE;CTX_REC_PAIN;1;ACTIF
GABC_DNB_PROP_RECETTE;CTX_REC_SOUPE;1;ACTIF
GABC_DNB_PCT_EFFECTIF_PROBA;CTX_PCT_CLUB;1;ACTIF
GABC_DNB_PCT_EFFECTIF_PROBA;CTX_PCT_COLLEGE;1;ACTIF
GABC_DNB_PCT_EFFECTIF_PROBA;CTX_PCT_ASSOC;1;ACTIF
GABC_DNB_PCT_EFFECTIF_PROBA;CTX_PCT_ENQUETE;1;ACTIF
GABC_DNB_GEOM_PYTH_TRIGO;CTX_TRIGO_RAMPE;1;ACTIF
GABC_DNB_GEOM_PYTH_TRIGO;CTX_TRIGO_ECHELLE;1;ACTIF
GABC_DNB_GEOM_PYTH_TRIGO;CTX_TRIGO_CABLE;1;ACTIF
GABC_DNB_GEOM_PYTH_TRIGO;CTX_TRIGO_HAUBAN;1;ACTIF
