methode_id;libelle;domaine;concept_id;demarche;niveau_id
MATM_TANGENTE_CONSTRUIRE;Construire une tangente à une courbe;ANALYSE;MATC_TANGENTE;Placer le point de contact puis utiliser le nombre dérivé comme coefficient directeur de la droite.;1G
MATM_DERIVEE_POLYNOME;Dériver un polynôme de degré inférieur ou égal à 3;ANALYSE;MATC_FONCTION_DERIVEE;Décomposer le polynôme en somme de monômes puis utiliser linéarité et dérivées usuelles du programme.;1G
MATM_DERIVEE_UNITES;Interpréter les unités d’un nombre dérivé;ANALYSE;MATC_NOMBRE_DERIVE;Rapporter l’unité de la grandeur en ordonnée à celle de la grandeur en abscisse et interpréter le signe.;1G
MATM_EXTREMUM_DERIVEE;Identifier un extremum par l’étude du signe de la dérivée;ANALYSE;MATC_EXTREMUM;Étudier le signe de f’ de part et d’autre d’un point critique puis conclure par les variations de f.;1G
MATM_VARIATIONS_TABLEAU;Construire un tableau de variations à partir de f’;ANALYSE;MATC_VARIATIONS_DERIVEE;Résoudre f’(x)=0, étudier le signe de f’, calculer les valeurs utiles de f puis synthétiser dans un tableau.;1G
MATM_SUITE_IDENTIFIER_GENERATION;Identifier le mode de génération d’une suite;ALGEBRE;MATC_MODE_GENERATION_SUITE;Repérer si les termes sont donnés directement, par récurrence, par algorithme ou par construction avant de calculer.;1G
MATM_SUITE_EXPLICITE_RECUR;Passer d’une définition explicite à une récurrence dans les cas simples;ALGEBRE;MATC_MODE_GENERATION_SUITE;Comparer u_n et u_(n+1), dégager la règle de passage puis préciser le terme initial.;1G
MATM_SUITE_MOTIF;Construire une suite à partir d’un motif ou d’un dénombrement;ALGEBRE;MATC_MODELE_DISCRET;Choisir le rang, compter la grandeur étudiée, produire plusieurs termes puis rechercher une règle explicite ou récurrente.;1G
MATM_SUITE_GRAPH;Représenter une suite par un nuage de points;ALGEBRE;MATC_REPRESENTATION_SUITE;Calculer plusieurs termes puis placer les points (n,u_n) sans relier artificiellement les abscisses entières.;1G
MATM_ARITH_TERME;Calculer le terme général d’une suite arithmétique;ALGEBRE;MATC_SUITE_ARITH;Identifier un terme connu et la raison puis écrire u_n = u_p + (n-p)r.;1G
MATM_ARITH_SOMME;Calculer une somme de termes arithmétiques;ALGEBRE;MATC_SOMME_ARITH;Compter le nombre de termes, identifier premier et dernier termes puis utiliser la moyenne des extrêmes.;1G
MATM_GEOM_TERME;Calculer le terme général d’une suite géométrique;ALGEBRE;MATC_SUITE_GEOM;Identifier un terme connu et la raison puis écrire u_n = u_p q^(n-p).;1G
MATM_GEOM_SOMME;Calculer une somme de termes géométriques;ALGEBRE;MATC_SOMME_GEOM;Factoriser par le premier terme, compter les puissances et appliquer la somme géométrique adaptée.;1G
MATM_SUITE_VARIATION_ARITH;Déterminer le sens de variation d’une suite arithmétique;ALGEBRE;MATC_VARIATION_SUITE;Lire le signe de la raison r : positif, nul ou négatif.;1G
MATM_SUITE_VARIATION_GEOM;Déterminer le sens de variation d’une suite géométrique dans les cas usuels;ALGEBRE;MATC_VARIATION_SUITE;Étudier la raison q et le signe des termes dans le cadre de l’exercice avant de conclure.;1G
MATM_SUITE_MODELE_LINEAIRE;Modéliser une croissance discrète à accroissement constant;ALGEBRE;MATC_CROISSANCE_LINEAIRE_DISCRETE;Identifier l’accroissement entre deux étapes, choisir une suite arithmétique et interpréter la raison dans le contexte.;1G
MATM_SUITE_MODELE_EXP;Modéliser une croissance discrète à taux constant;ALGEBRE;MATC_CROISSANCE_EXP_DISCRETE;Transformer le taux en coefficient multiplicateur, choisir une suite géométrique et interpréter la raison.;1G
MATM_SUITE_SEUIL;Rechercher un seuil pour une suite;ALGEBRE;MATC_SEUIL_SUITE;Formuler la condition, calculer ou itérer les termes jusqu’au premier rang qui la satisfait puis vérifier le caractère minimal.;1G
MATM_SUITE_LIMITE_CONJECTURE;Conjecturer le comportement à long terme d’une suite;ALGEBRE;MATC_LIMITE_SUITE_INTUITIVE;Observer valeurs, représentation et éventuellement seuils pour formuler une conjecture sans prétendre démontrer une convergence.;1G
MATM_SECOND_CHOIX_FORME;Choisir la forme adaptée d’un trinôme;ALGEBRE;MATC_SECOND_DEGRE;Identifier l’information recherchée : coefficients, sommet, racines ou signe, puis choisir développée, canonique ou factorisée.;1G
MATM_SECOND_CANONIQUE;Déterminer une forme canonique;ALGEBRE;MATC_FORME_CANONIQUE;Transformer l’expression ou exploiter les caractéristiques du trinôme pour obtenir a(x-alpha)^2+beta.;1G
MATM_SECOND_FACTORISER;Factoriser un trinôme;ALGEBRE;MATC_FORME_FACTORISEE;Rechercher une factorisation adaptée aux données, vérifier en redéveloppant et exploiter les racines éventuelles.;1G
MATM_SECOND_SOMMET;Lire ou déterminer le sommet d’une parabole;ALGEBRE;MATC_SOMMET_PARABOLE;Utiliser la forme canonique puis relier alpha et beta aux coordonnées du sommet.;1G
MATM_SECOND_RESOLUTION;Résoudre une équation du second degré;ALGEBRE;MATC_EQUATION_SECOND_DEGRE;Ramener l’équation à P(x)=0, choisir factorisation ou outil adapté, puis vérifier les solutions.;1G
MATM_PS_COORD;Calculer un produit scalaire en coordonnées;GEOMETRIE;MATC_PRODUIT_SCALAIRE;Déterminer les coordonnées des vecteurs puis sommer les produits des coordonnées correspondantes.;1G
MATM_PS_GEOMETRIQUE;Calculer un produit scalaire avec normes et angle;GEOMETRIE;MATC_PRODUIT_SCALAIRE;Identifier les normes et l’angle puis appliquer la relation avec le cosinus.;1G
MATM_PS_ORTHOGONALITE;Démontrer une orthogonalité par produit scalaire;GEOMETRIE;MATC_ORTHOGONALITE;Construire les vecteurs pertinents et établir que leur produit scalaire est nul.;1G
MATM_PS_ANGLE;Déterminer un angle à l’aide du produit scalaire;GEOMETRIE;MATC_ANGLE_VECTEURS;Calculer produit scalaire et normes puis isoler le cosinus avant de déterminer l’angle.;1G
MATM_PS_NORMAL;Déterminer ou exploiter un vecteur normal;GEOMETRIE;MATC_VECTEUR_NORMAL;Traduire l’orthogonalité à un vecteur directeur par un produit scalaire nul.;1G
MATM_PROBA_COND_TABLEAU;Calculer une probabilité conditionnelle dans un tableau;PROBABILITES;MATC_PROBA_CONDITIONNELLE;Identifier la population conditionnante puis former le rapport intersection sur condition.;1G
MATM_PROBA_ARBRE_CONSTRUIRE;Construire un arbre pondéré;PROBABILITES;MATC_ARBRE_PROBA;Choisir le premier événement, placer les probabilités de branches et compléter chaque embranchement à somme 1.;1G
MATM_PROBA_ARBRE_CALCUL;Calculer la probabilité d’un chemin;PROBABILITES;MATC_ARBRE_PROBA;Multiplier les probabilités successives le long du chemin puis additionner des chemins incompatibles si nécessaire.;1G
MATM_PROBA_TOTALE;Utiliser la formule des probabilités totales;PROBABILITES;MATC_PROBA_TOTALES;Identifier une partition puis sommer les probabilités des intersections correspondantes.;1G
MATM_PROBA_INDEP_TEST;Tester l’indépendance de deux événements;PROBABILITES;MATC_INDEPENDANCE;Comparer une conditionnelle à une marginale ou comparer P(A inter B) à P(A)P(B).;1G
MATM_VA_ESPERANCE;Calculer et interpréter une espérance;PROBABILITES;MATC_ESPERANCE;Calculer la somme des valeurs pondérées par leurs probabilités puis interpréter comme moyenne théorique.;1G
MATM_VA_VARIANCE;Calculer variance et écart type;PROBABILITES;MATC_VARIANCE;Calculer E(X²) et E(X), former V(X)=E(X²)-E(X)² puis prendre la racine carrée.;1G
MATM_FRACTION_REPERER;Comparer et repérer des fractions;NOMBRES;MATC_FRACTION;Choisir une représentation ou un dénominateur adapté, comparer puis contrôler l’ordre obtenu.;6E
MATM_FRACTION_CALCUL;Calculer avec des fractions;NOMBRES;MATC_FRACTION;Identifier l’opération, transformer les écritures si nécessaire puis simplifier le résultat lorsque c’est pertinent.;5E
MATM_RELATIFS_CALCUL;Calculer avec des nombres relatifs;NOMBRES;MATC_NOMBRE_RELATIF;Repérer les signes, appliquer la règle adaptée puis contrôler le signe et l’ordre de grandeur.;5E
MATM_PRIORITES_CALCUL;Organiser un calcul;NOMBRES;MATC_PRIORITES;Repérer parenthèses, produits et quotients, puis sommes et différences avant d’effectuer les calculs.;5E
MATM_LITTERAL_TRADUIRE;Traduire une situation en expression littérale;ALGEBRE;MATC_EXPRESSION_LITTERALE;Choisir la lettre, identifier les opérations décrites et écrire une expression dont chaque terme garde un sens.;5E
MATM_DISTRIBUTIVITE;Développer ou factoriser par distributivité;ALGEBRE;MATC_DISTRIBUTIVITE;Identifier le facteur commun ou le produit d’une somme puis appliquer la distributivité dans le bon sens.;5E
MATM_PERIMETRE;Calculer un périmètre;GRANDEURS;MATC_PERIMETRE;Identifier le contour utile, convertir les longueurs si nécessaire puis additionner les longueurs.;6E
MATM_AIRE;Calculer une aire;GRANDEURS;MATC_AIRE;Identifier ou décomposer la figure, choisir la formule adaptée et exprimer le résultat dans une unité d’aire.;6E
MATM_TRIANGLE_CONSTRUIRE;Construire et contrôler un triangle;GEOMETRIE;MATC_TRIANGLE;Analyser les données, choisir les instruments, construire puis vérifier les propriétés demandées.;6E
MATM_MEDIATRICE;Construire et utiliser une médiatrice;GEOMETRIE;MATC_MEDIATRICE;Construire la droite équidistante des extrémités du segment puis exploiter cette propriété.;6E
MATM_REPERE;Lire et placer dans un repère;GEOMETRIE;MATC_REPERE;Identifier abscisse et ordonnée, respecter les graduations puis contrôler le quadrant ou la position.;5E
MATM_STATS_LIRE;Lire et interpréter des données;STATISTIQUES;MATC_REPRESENTATION_DONNEES;Identifier population, variable et unités puis extraire et comparer les informations pertinentes.;5E
MATM_PROBA_SIMPLE;Calculer une probabilité simple;PROBABILITES;MATC_PROBABILITE;Décrire les issues, identifier l’événement et, en équiprobabilité, rapporter les cas favorables aux cas possibles.;6E
MATM_PROP_RESOUDRE;Résoudre un problème de proportionnalité;FONCTIONS;MATC_PROPORTIONNALITE;Vérifier le modèle puis choisir linéarité, retour à l’unité ou coefficient selon les données.;6E
MATM_FONCTION_LIRE;Lire une fonction dans plusieurs registres;FONCTIONS;MATC_FONCTION;Identifier les deux grandeurs puis passer entre tableau, formule et graphique pour déterminer images ou antécédents.;5E
MATM_ALGO_TRACER;Exécuter et compléter un algorithme;ALGORITHMIQUE;MATC_ALGORITHME;Suivre l’état des variables instruction par instruction et repérer séquences, conditions et répétitions.;5E
MATM_4E_NOTSCI;Écrire en notation scientifique;NOMBRES;MATC_NOTATION_SCIENTIFIQUE;Déplacer la virgule pour obtenir un nombre entre 1 et 10 puis compenser avec une puissance de 10.;4E
MATM_4E_FACTPREM;Décomposer en facteurs premiers;ARITHMETIQUE;MATC_FACTEURS_PREMIERS;Diviser successivement par des nombres premiers jusqu’à obtenir 1 puis écrire le produit des facteurs.;4E
MATM_4E_FRACTION;Simplifier une fraction par facteurs premiers;ARITHMETIQUE;MATC_FACTEURS_PREMIERS;Décomposer numérateur et dénominateur puis simplifier les facteurs communs.;4E
MATM_4E_DEVELOPPER;Développer par distributivité simple;ALGEBRE;MATC_DISTRIBUTIVITE;Multiplier chaque terme de la parenthèse par le facteur puis réduire.;4E
MATM_4E_EQUATION;Résoudre une équation du premier degré;ALGEBRE;MATC_EQUATION_PREMIER_DEGRE;Effectuer les mêmes opérations dans les deux membres pour isoler l’inconnue puis vérifier.;4E
MATM_4E_MEDIANE;Déterminer une médiane;STATISTIQUES;MATC_MEDIANE;Ordonner les données, repérer le ou les rangs centraux puis interpréter la valeur obtenue.;4E
MATM_4E_PROBA_CONTRAIRE;Calculer avec un événement contraire;PROBABILITES;MATC_EVENEMENT_CONTRAIRE;Identifier l’événement contraire puis utiliser que les deux probabilités ont pour somme 1.;4E
MATM_4E_PYTHAGORE;Calculer avec Pythagore;GEOMETRIE;MATC_PYTHAGORE;Identifier le triangle rectangle, écrire l’égalité de Pythagore puis isoler la longueur cherchée.;4E
MATM_4E_THALES;Calculer avec Thalès;GEOMETRIE;MATC_THALES;Vérifier la configuration et le parallélisme, écrire les rapports correspondants puis calculer.;4E
MATM_4E_COSINUS;Utiliser le cosinus;GEOMETRIE;MATC_COSINUS;Repérer hypoténuse et côté adjacent, écrire le rapport puis calculer longueur ou angle.;4E
MATM_3E_DOUBLE_DIST;Développer par double distributivité;ALGEBRE;MATC_DOUBLE_DISTRIBUTIVITE;Multiplier chaque terme du premier facteur par chaque terme du second puis réduire.;3E
MATM_3E_EQPROD;Résoudre une équation-produit;ALGEBRE;MATC_EQUATION_PRODUIT;Utiliser qu’un produit est nul si et seulement si au moins un facteur est nul puis résoudre chaque équation.;3E
MATM_3E_HISTO;Lire ou construire un histogramme;STATISTIQUES;MATC_HISTOGRAMME;Associer chaque classe à un rectangle et interpréter les effectifs ou fréquences représentés.;3E
MATM_3E_EVOLUTION;Passer d’un pourcentage à un coefficient multiplicateur;FONCTIONS;MATC_COEFFICIENT_MULTIPLICATEUR;Pour une hausse de t utiliser 1+t et pour une baisse utiliser 1-t, avec t sous forme décimale.;3E
MATM_3E_FONCTION;Changer de représentation d’une fonction;FONCTIONS;MATC_FONCTION;Passer entre formule, tableau, graphique et description verbale en conservant le lien entrée-sortie.;3E
MATM_3E_HOMOTHETIE;Calculer avec une homothétie;GEOMETRIE;MATC_HOMOTHETIE;Identifier le rapport k puis multiplier les longueurs par |k|, les aires par k² et les volumes par |k|³.;3E
MATM_3E_THALES;Utiliser Thalès en configuration papillon;GEOMETRIE;MATC_THALES;Identifier les droites parallèles et les côtés correspondants puis établir les rapports de longueurs.;3E
MATM_3E_TRIGO;Choisir un rapport trigonométrique;GEOMETRIE;MATC_COSINUS;Dans un triangle rectangle, identifier les côtés connus et cherchés puis choisir cosinus, sinus ou tangente.;3E
MATM_3E_ALGO;Décomposer un programme en sous-problèmes;ALGORITHMIQUE;MATC_BLOC_PERSONNALISE;Identifier les tâches répétées, créer des blocs dédiés puis combiner boucles, conditions et variables.;3E
MATM_2GT_ENSEMBLES;Manipuler ensembles et intervalles;LOGIQUE;MATC_INTERVALLE;Traduire une condition en ensemble, choisir les bornes et crochets puis utiliser réunion, intersection ou complémentaire.;2GT
MATM_2GT_LOGIQUE;Analyser une implication;LOGIQUE;MATC_IMPLICATION;Identifier hypothèse et conclusion, distinguer réciproque et contraposée et choisir la formulation adaptée.;2GT
MATM_2GT_CONTREEX;Réfuter par contre-exemple;LOGIQUE;MATC_CONTRE_EXEMPLE;Repérer le quantificateur universel puis construire un cas satisfaisant les hypothèses mais pas la conclusion.;2GT
MATM_2GT_ALGO;Lire et modifier un programme;ALGORITHMIQUE;MATC_ALGORITHME;Suivre l’état des variables, repérer conditions et boucles puis modifier une instruction en contrôlant son effet.;2GT
MATM_2GT_FONCTION_INFO;Écrire une fonction informatique;ALGORITHMIQUE;MATC_FONCTION_INFORMATIQUE;Définir les arguments, écrire le corps de la fonction, produire le résultat puis tester sur quelques valeurs.;2GT
MATM_2GT_IRRED;Rendre une fraction irréductible;ARITHMETIQUE;MATC_FRACTION_IRREDUCTIBLE;Décomposer ou déterminer un diviseur commun puis diviser numérateur et dénominateur par leur PGCD implicite.;2GT
MATM_2GT_APPROX;Contrôler une valeur approchée;NOMBRES;MATC_VALEUR_APPROCHEE;Conserver la valeur exacte aussi longtemps que possible puis vérifier l’ordre de grandeur et la précision de l’approximation.;2GT
MATM_2GT_INEQUATION;Résoudre une inéquation du premier degré;ALGEBRE;MATC_INEQUATION_PREMIER_DEGRE;Isoler l’inconnue en conservant le sens de l’inégalité, l’inverser lors d’une multiplication ou division par un nombre négatif, puis écrire l’ensemble solution.;2GT
MATM_2GT_ISOLER;Isoler une variable dans une formule;ALGEBRE;MATC_ISOLER_VARIABLE;Effectuer les mêmes opérations sur les deux membres jusqu’à exprimer la variable cible.;2GT
MATM_2GT_VECTEURS;Résoudre par calcul vectoriel;GEOMETRIE;MATC_VECTEUR;Traduire la configuration en relations vectorielles, calculer les coordonnées utiles puis conclure géométriquement.;2GT
MATM_2GT_DROITE;Déterminer une équation de droite;GEOMETRIE;MATC_EQUATION_DROITE;Déterminer un coefficient directeur ou un vecteur directeur, utiliser un point connu puis vérifier l’équation obtenue.;2GT
MATM_2GT_FONCTION;Passer entre registres d’une fonction;FONCTIONS;MATC_FONCTION;Passer de la formule au tableau ou au graphique et lire images, antécédents et propriétés dans le registre le plus adapté.;2GT
MATM_2GT_VARIATIONS;Lire et justifier les variations;FONCTIONS;MATC_VARIATION_FONCTION;Repérer les intervalles pertinents, comparer les valeurs de la fonction et synthétiser dans un tableau de variations.;2GT
MATM_2GT_EVOLUTION;Traiter une évolution en pourcentage;STATISTIQUES;MATC_COEFFICIENT_MULTIPLICATEUR;Transformer le taux en coefficient multiplicateur, effectuer le calcul puis revenir si besoin au taux.;2GT
MATM_2GT_TABLEAU_CROISE;Lire un tableau croisé;STATISTIQUES;MATC_TABLEAU_CROISE;Identifier population totale, marges et sous-population de référence avant de calculer effectifs ou fréquences.;2GT
MATM_2GT_PROBA;Calculer une probabilité par dénombrement;PROBABILITES;MATC_EQUIPROBABILITE;Décrire l’univers, compter issues favorables et possibles en équiprobabilité puis contrôler que le résultat appartient à [0,1].;2GT
