type_exercice_id;methode_id;role
MATX_PROBA_TABLEAU;MATM_PROBA_COND_TABLEAU;CENTRAL
MATX_PROBA_ARBRE;MATM_PROBA_ARBRE_CONSTRUIRE;CENTRAL
MATX_PROBA_ARBRE;MATM_PROBA_ARBRE_CALCUL;MOBILISE
MATX_PROBA_ARBRE;MATM_PROBA_TOTALE;MOBILISE
MATX_PROBA_INDEP;MATM_PROBA_INDEP_TEST;CENTRAL
MATX_PROBA_INVERSE;MATM_PROBA_ARBRE_CALCUL;MOBILISE
MATX_PROBA_INVERSE;MATM_PROBA_TOTALE;MOBILISE
MATX_VA_LOI;MATM_VA_LOI;CENTRAL
MATX_VA_INDICATEURS;MATM_VA_ESPERANCE;CENTRAL
MATX_VA_INDICATEURS;MATM_VA_VARIANCE;MOBILISE
MATX_VA_JEU;MATM_VA_LOI;MOBILISE
MATX_VA_JEU;MATM_VA_ESPERANCE;CENTRAL
MATX_6E_FRACTIONS;MATM_FRACTION_REPERER;MOBILISE
MATX_6E_GRANDEURS;MATM_PERIMETRE;MOBILISE
MATX_6E_GRANDEURS;MATM_AIRE;MOBILISE
MATX_6E_GEOMETRIE;MATM_TRIANGLE_CONSTRUIRE;MOBILISE
MATX_6E_GEOMETRIE;MATM_MEDIATRICE;MOBILISE
MATX_6E_PROBA;MATM_PROBA_SIMPLE;MOBILISE
MATX_6E_PROP;MATM_PROP_RESOUDRE;MOBILISE
MATX_5E_RELATIFS;MATM_RELATIFS_CALCUL;MOBILISE
MATX_5E_RELATIFS;MATM_PRIORITES_CALCUL;MOBILISE
MATX_5E_LITTERAL;MATM_LITTERAL_TRADUIRE;MOBILISE
MATX_5E_LITTERAL;MATM_DISTRIBUTIVITE;MOBILISE
MATX_5E_TRANSFO;MATM_REPERE;MOBILISE
MATX_5E_STATS_PROBA;MATM_STATS_LIRE;MOBILISE
MATX_5E_FONCTION;MATM_FONCTION_LIRE;MOBILISE
MATX_5E_ALGO;MATM_ALGO_TRACER;MOBILISE
MATX_4E_NOTSCI;MATM_4E_NOTSCI;MOBILISE
MATX_4E_PREMIERS;MATM_4E_FACTPREM;MOBILISE
MATX_4E_PREMIERS;MATM_4E_FRACTION;MOBILISE
MATX_4E_LITTERAL;MATM_4E_DEVELOPPER;MOBILISE
MATX_4E_LITTERAL;MATM_4E_EQUATION;MOBILISE
MATX_4E_STAT;MATM_4E_MEDIANE;MOBILISE
MATX_4E_PROBA;MATM_4E_PROBA_CONTRAIRE;MOBILISE
MATX_4E_PYTH;MATM_4E_PYTHAGORE;MOBILISE
MATX_4E_THALES;MATM_4E_THALES;MOBILISE
MATX_4E_TRIGO;MATM_4E_COSINUS;MOBILISE
MATX_3E_ALGEBRE;MATM_3E_DOUBLE_DIST;MOBILISE
MATX_3E_ALGEBRE;MATM_3E_EQPROD;MOBILISE
MATX_3E_HISTO;MATM_3E_HISTO;MOBILISE
MATX_3E_FONCTIONS;MATM_3E_FONCTION;MOBILISE
MATX_3E_EVOLUTION;MATM_3E_EVOLUTION;MOBILISE
MATX_3E_HOMOTH;MATM_3E_HOMOTHETIE;MOBILISE
MATX_3E_THALES;MATM_3E_THALES;MOBILISE
MATX_3E_TRIGO;MATM_3E_TRIGO;MOBILISE
MATX_3E_ALGO;MATM_3E_ALGO;MOBILISE
MATX_2GT_LOGIQUE;MATM_2GT_ENSEMBLES;MOBILISE
MATX_2GT_LOGIQUE;MATM_2GT_LOGIQUE;MOBILISE
MATX_2GT_LOGIQUE;MATM_2GT_CONTREEX;MOBILISE
MATX_2GT_ALGO;MATM_2GT_ALGO;MOBILISE
MATX_2GT_ALGO;MATM_2GT_FONCTION_INFO;MOBILISE
MATX_2GT_ARITH;MATM_2GT_IRRED;MOBILISE
MATX_2GT_REELS;MATM_2GT_APPROX;MOBILISE
MATX_2GT_ALGEBRE;MATM_2GT_INEQUATION;MOBILISE
MATX_2GT_ALGEBRE;MATM_2GT_ISOLER;MOBILISE
MATX_2GT_VECTEURS;MATM_2GT_VECTEURS;MOBILISE
MATX_2GT_DROITES;MATM_2GT_DROITE;MOBILISE
MATX_2GT_FONCTIONS;MATM_2GT_FONCTION;MOBILISE
MATX_2GT_VARIATIONS;MATM_2GT_VARIATIONS;MOBILISE
MATX_2GT_EVOLUTIONS;MATM_2GT_EVOLUTION;MOBILISE
MATX_2GT_STATS;MATM_2GT_TABLEAU_CROISE;MOBILISE
MATX_2GT_PROBA;MATM_2GT_PROBA;MOBILISE
