formule_id;concept_id;libelle;expression;conditions;niveau_id
MATF_ARITH_REC;MATC_SUITE_ARITH;Récurrence arithmétique;u_(n+1) = u_n + r;Suite arithmétique de raison r.;1G
MATF_ARITH_SOMME;MATC_SOMME_ARITH;Somme de termes consécutifs arithmétiques;S = N (premier terme + dernier terme) / 2;N est le nombre de termes effectivement additionnés.;1G
MATF_ARITH_1_N;MATC_SOMME_ARITH;Somme des entiers de 1 à n;1 + 2 + ... + n = n(n+1)/2;n entier naturel.;1G
MATF_GEOM_REC;MATC_SUITE_GEOM;Récurrence géométrique;u_(n+1) = q u_n;Suite géométrique de raison q.;1G
MATF_GEOM_SOMME_P;MATC_SOMME_GEOM;Somme géométrique à partir d’un terme u_p;u_p + ... + u_(p+N-1) = u_p (1-q^N)/(1-q);q différent de 1 et N nombre de termes.;1G
MATF_COEFF_TAUX;MATC_CROISSANCE_EXP_DISCRETE;Coefficient multiplicateur associé à un taux;q = 1 + t;t est le taux d’évolution écrit sous forme décimale.;1G
MATF_SECOND_DISCR;MATC_DISCRIMINANT;Discriminant d’un trinôme;Delta = b^2 - 4ac;P(x)=ax^2+bx+c avec a non nul.;1G
MATF_SECOND_RACINES2;MATC_RACINE_TRINOME;Deux racines réelles;"x_1 = (-b-sqrt(Delta))/(2a) ; x_2 = (-b+sqrt(Delta))/(2a)";Delta strictement positif.;1G
MATF_SECOND_RACINE1;MATC_RACINE_TRINOME;Racine double;x_0 = -b/(2a);Delta nul.;1G
MATF_SECOND_ALPHA;MATC_FORME_CANONIQUE;Abscisse du sommet;alpha = -b/(2a);P(x)=ax^2+bx+c.;1G
MATF_SECOND_CANON;MATC_FORME_CANONIQUE;Forme canonique;P(x) = a(x-alpha)^2 + beta;a non nul.;1G
MATF_PS_ANGLE;MATC_PRODUIT_SCALAIRE;Produit scalaire et angle;u.v = ||u|| ||v|| cos(theta);Vecteurs non nuls pour isoler le cosinus.;1G
MATF_PS_NORME;MATC_NORME_VECTEUR;Norme en coordonnées;||u|| = sqrt(x_u^2 + y_u^2);Repère orthonormé.;1G
MATF_PROBA_INDEP;MATC_INDEPENDANCE;Critère d’indépendance;P(A inter B) = P(A) P(B);Événements A et B.;1G
MATF_PROBA_TOTALE;MATC_PROBA_TOTALES;Probabilités totales;P(B) = somme_i P(A_i) P_Ai(B);Les A_i forment une partition de l’univers.;1G
MATF_VA_ESPERANCE;MATC_ESPERANCE;Espérance d’une loi finie;E(X) = somme_i x_i p_i;Variable aléatoire discrète de loi finie.;1G
MATF_VA_VARIANCE;MATC_VARIANCE;Variance d’une loi finie;V(X) = E(X^2) - E(X)^2;Variable aléatoire discrète de loi finie.;1G
MATF_VA_ECART;MATC_ECART_TYPE;Écart type;sigma(X) = sqrt(V(X));Variance non négative.;1G
