notion_id;discipline_id;libelle;description;document
MAT_VARIABLES_ALEATOIRES_DISCRETES_FINIES;MAT;Variables aléatoires discrètes finies;Repères, méthodes et automatismes essentiels sur : Variables aléatoires discrètes finies.;notions/variables_aleatoires_discretes_finies.md
MAT_VARIABLES_ALEATOIRES_REELLES;MAT;Variables aléatoires réelles;Repères, méthodes et automatismes essentiels sur : Variables aléatoires réelles.;notions/variables_aleatoires_reelles.md
MAT_VARIABLES_ET_INSTRUCTIONS_ELEMENTAIRES;MAT;Variables et instructions élémentaires;Repères, méthodes et automatismes essentiels sur : Variables et instructions élémentaires.;notions/variables_et_instructions_elementaires.md
MAT_VARIATIONS_ET_COURBES_REPRESENTATIVES_DES_FONCTIONS;MAT;Variations et courbes représentatives des fonctions;Repères, méthodes et automatismes essentiels sur : Variations et courbes représentatives des fonctions.;notions/variations_courbes_fonctions.md
MAT_VARIATIONS_ET_EXTREMUMS_D_UNE_FONCTION;MAT;Variations et extrémums d’une fonction;Repères, méthodes et automatismes essentiels sur : Variations et extrémums d’une fonction.;notions/variations_et_extremums_d_une_fonction.md
MAT_VARIATION_EXPONENTIELLE;MAT;Variation exponentielle;Repères, méthodes et automatismes essentiels sur : Variation exponentielle.;notions/variation_exponentielle.md
MAT_VARIATION_LINEAIRE;MAT;Variation linéaire;Repères, méthodes et automatismes essentiels sur : Variation linéaire.;notions/variation_lineaire.md
MAT_VECTEURS_ET_PROBLEMES_DE_GEOMETRIE;MAT;Vecteurs et problèmes de géométrie;Repères, méthodes et automatismes essentiels sur : Vecteurs et problèmes de géométrie.;notions/vecteurs_et_problemes_de_geometrie.md
MAT_VISION_DANS_L_ESPACE;MAT;Vision dans l’espace;Repères, méthodes et automatismes essentiels sur : Vision dans l’espace.;notions/vision_dans_l_espace.md
MAT_VOCABULAIRE_ENSEMBLISTE_ET_LOGIQUE;MAT;Vocabulaire ensembliste et logique;Repères, méthodes et automatismes essentiels sur : Vocabulaire ensembliste et logique.;notions/vocabulaire_ensembliste_et_logique.md
MAT_VOLUMES;MAT;Volumes;Repères, méthodes et automatismes essentiels sur : Volumes.;notions/volumes.md
MAT_NOMBRES_COMPLEXES;MAT;Nombres complexes;Calcul algébrique, formes trigonométrique et exponentielle, géométrie complexe et équations polynomiales.;notions/nombres_complexes.md
MAT_GRAPHES_MATRICES;MAT;Graphes et matrices;Graphes, matrices d’adjacence, calcul matriciel, systèmes linéaires et modélisation discrète.;notions/graphes_matrices.md
MAT_NOMBRES_PREMIERS;MAT;Nombres premiers et décomposition;Reconnaître un nombre premier et décomposer un entier en facteurs premiers.;notions/nombres_premiers.md
MAT_GRANDEURS_COMPOSEES;MAT;Grandeurs composées;Comprendre et utiliser des grandeurs composées comme la vitesse ou le débit.;notions/grandeurs_composees.md
MAT_PYTHAGORE;MAT;Théorème de Pythagore;Utiliser le théorème de Pythagore et sa réciproque dans un triangle rectangle.;notions/pythagore.md
MAT_THALES;MAT;Théorème de Thalès;Utiliser le théorème de Thalès et sa réciproque dans des configurations de triangles.;notions/thales.md
MAT_COSINUS_TRIANGLE_RECTANGLE;MAT;Cosinus dans le triangle rectangle;Utiliser le cosinus pour déterminer une longueur ou un angle dans un triangle rectangle.;notions/cosinus_triangle_rectangle.md
MAT_LITT_DOUBLE_DISTRIBUTIVITE;MAT;Double distributivité;Développer et réduire des expressions en utilisant la double distributivité.;notions/double_distributivite.md
MAT_EQUATION_PRODUIT;MAT;Équation-produit;Résoudre une équation-produit en utilisant la propriété du produit nul.;notions/equation_produit.md
MAT_FONCTIONS_LINEAIRES_AFFINES;MAT;Fonctions linéaires et affines;Reconnaître, représenter et exploiter des fonctions linéaires et affines.;notions/fonctions_lineaires_affines.md
MAT_HOMOTHETIE;MAT;Homothétie;Utiliser une homothétie et son rapport pour raisonner sur les longueurs, les aires et les volumes.;notions/homothetie.md
MAT_TRIGONOMETRIE_TRIANGLE_RECTANGLE;MAT;Trigonométrie dans le triangle rectangle;Utiliser cosinus, sinus et tangente pour calculer une longueur ou un angle dans un triangle rectangle.;notions/trigonometrie_triangle_rectangle.md
